INDEX	TEXT_ASR	INTENT	TEXT_GOLD
1	Zeige aller Erinnerungen.	reminder/show_reminders	zeige alle erinnerungen
2	Benültige ich einen Polova.	weather/find	benötige ich einen pullover?
3	Eine Erinnerung für heute um vier Uhr nachmittags hinzufügen.	reminder/set_reminder	eine erinnerung für heute um 4 uhr nachmittags hinzufügen
5	Erinnere mich Gas zu kaufen.	reminder/set_reminder	erinnere mich gas zu kaufen.
6	Benötige ich am Mittwoch an den Regen schirm.	weather/find	benötige ich am mittwoch einen regenschirm?
8	Erstelle eine Geburtzeugserinnerung für Max.	reminder/set_reminder	erstelle eine geburtstagserinnerung für max
9	Zeige mir alle in der Höhung.	reminder/show_reminders	zeig mir alle erinnerungen
10	Zwei Geale Vega.	alarm/show_alarms	zeige alle wecker.
11	Regne das heute.	weather/find	regnet es heute?
12	Stellert den Wecker auf acht Uhr ein.	alarm/set_alarm	stelle den wecker auf 8:00 uhr ein
13	Wie ist die Temperatur heute?	weather/find	wie ist die temperatur heute?
14	Zeige meine Erinnerung.	reminder/show_reminders	zeige meine erinnerung
15	Alle Wecker anzeigen.	alarm/show_alarms	alle wecker anzeigen
16	Erinnere mich mit Benny Betradscharz zu reden.	reminder/set_reminder	erinnere mich mit ben über georgia zu reden
17	Er stelle einen Wecker für fünf Uhr morgens.	alarm/set_alarm	erstelle einen wecker für 5 uhr morgens
18	Ist es heute bewirkt?	weather/find	ist es heute bewölkt
19	Wie viele Millimeterigen werden wir heute bekommen.	weather/find	wie viele millimeter regen werden wir heute bekommen?
20	Erinneren mich, morgen meine Schwester anzurufen.	reminder/set_reminder	erinnere mich, morgen meine schwester anzurufen
21	Schalte wecker aus.	alarm/cancel_alarm	schalte wecker aus
22	Wir haben das zu überheißen.	weather/find	wird es diese woche heiß?
23	Erstelle einen Unwecker für drei Uhr Nachmittags.	alarm/set_alarm	erstelle einen wecker für 3 uhr nachmittags.
24	Wir zeutete Schnein.	weather/find	wird es heute schneien
25	Entführenne alle Wecker.	alarm/cancel_alarm	entferne alle wecker
26	zeigen wir meine Erinnerungen.	reminder/show_reminders	zeig mir meine erinnerungen
28	Was sind meine Inherungen?	reminder/show_reminders	was sind meine erinnerungen?
29	Erstelle einen täglichen Wecker für acht Umorgens.	alarm/set_alarm	erstelle einen täglichen wecker für 8 uhr morgens
30	kannst du mir die Wecker anzeigen.	alarm/show_alarms	kannst du mir die wecker anzeigen?
31	Erwartet des Neewalt heute stürme.	weather/find	erwartet disney world heute stürme?
32	Wir decillt es schneiden.	weather/find	wird es heute schneien
33	Danke, Oliveka!	alarm/show_alarms	zeige alle wecker
34	Ist es heute kalt?	weather/find	ist es heute kalt?
35	Bitte lasch ich den Becker für Donas Takmwagen.	alarm/cancel_alarm	bitte lösche den wecker für donnerstagmorgen.
36	Regen mit der Freude.	weather/find	regnet es heute?
37	Schneidissen kann er da.	weather/find	schneit es in kanada
38	Was wird die höchstempartur heute?	weather/find	was wird die höchsttemperatur heute?
39	Wir sollte Nacht genug schneiden, um das Reisen gefährlich zu machen.	weather/find	wird es heute nacht genug schneien, um das reisen gefährlich zu machen?
40	zeige alle in der Rung.	reminder/show_reminders	zeige alle erinnerungen
42	Brauche ich morgen eine Jacke.	weather/find	brauche ich morgen eine jacke?
45	Zeige alle weg an.	alarm/show_alarms	zeige alle wecker an
46	Wies das Wetter in Yellowstone.	weather/find	wie ist das wetter in yellowstone?
47	Wies das Wetter heute.	weather/find	wie ist das wetter heute?
49	Erinnere mich morgen zu dieser Zeit einen Arztemien zu vereinbaren.	reminder/set_reminder	erinnere mich morgen zu dieser zeit einen arzttermin zu vereinbaren
50	Erinnere mich die Miete abzugeben.	reminder/set_reminder	erinnere mich, die miete abzugeben
51	wann wird es auch führen zu regnen?	weather/find	wann wir es aufhören zu regnen?
52	Wecker Löschen.	alarm/cancel_alarm	wecker löschen
53	Erinneren mich, Stefanier und Dienstag anzurufen.	reminder/set_reminder	erinnere mich stephanie am dienstag anzurufen
54	Zeige mir alle meine wegzeiten.	alarm/show_alarms	zeige mir alle meine weckzeiten
55	Wie heißt wir das heute?	weather/find	wie heiß wird es heute?
56	Setze einen Wecker für 17 Uhr heute Abend.	alarm/set_alarm	setze einen wecker für 17 uhr heute abend
57	Erinnere mich daran, am 21. August um 15 Uhr zum Arzt zu gehen.	reminder/set_reminder	erinnere mich daran, am 21. august um 15 uhr zum arzt zu gehen
59	Wann zeigt die Wettervorherr-Saget in nächsten Regen an?	weather/find	wann zeigt die wettervorhersage den nächsten regen an?
60	Wann ist mein Wecker für morgen früh eingestellt?	alarm/show_alarms	wann ist mein wecker für morgen früh eingestellt?
107	Äne Römich für Chen die Blumen abzuholen für unseren Jahrestag am 28.	reminder/set_reminder	erinnere mich für jen die blumen abzuholen für unseren jahrestag am 28.
158	Welche Wäcker sind eingestellt?	alarm/show_alarms	welche wecker sind eingestellt?
171	Erinnere mich, die Arbeitsimell sollte aben zu beantworten.	reminder/set_reminder	erinnere mich die arbeitsemails heute abend zu beantworten
336	Ich möchte eine Brasserie für drei Personen auf den niedrillentischen Anteln buchen.	BookRestaurant	ich möchte eine brasserie für 3 personen auf den niederländischen antillen buchen .
